id,vendor_id,pickup_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag
id2690061,2,2016-06-30 23:46:11,1,-73.989059448242188,40.74420166015625,-73.989517211914062,40.767940521240234,N
id2214549,1,2016-06-30 23:45:49,1,-74.001373291015625,40.741344451904297,-73.97711181640625,40.749786376953125,N
id0552977,1,2016-06-30 23:45:48,3,-73.980842590332031,40.742031097412109,-73.972366333007812,40.75628662109375,N
id1556775,2,2016-06-30 23:45:46,1,-73.989021301269531,40.721599578857422,-74.004150390625,40.706050872802734,N
id0364901,1,2016-06-30 23:45:17,2,-73.975608825683594,40.745368957519531,-73.946823120117188,40.776397705078125,N
id3345419,2,2016-06-30 23:44:32,1,-73.987403869628906,40.721729278564453,-73.999458312988281,40.693397521972656,N
id0814840,1,2016-06-30 23:44:31,2,-73.787643432617188,40.641918182373047,-73.971549987792969,40.676395416259766,N
id3159174,1,2016-06-30 23:44:16,1,-73.865768432617188,40.770969390869141,-73.991081237792969,40.677848815917969,N
id3650870,2,2016-06-30 23:43:38,6,-73.787773132324219,40.641689300537109,-73.700950622558594,40.716991424560547,N
id2576205,1,2016-06-30 23:42:58,1,-73.998756408691406,40.732059478759766,-73.983604431152344,40.725944519042969,N
id3408993,2,2016-06-30 23:42:17,2,-73.974327087402344,40.750541687011719,-73.975921630859375,40.732509613037109,N
id1969762,2,2016-06-30 23:41:53,1,-73.986503601074219,40.718181610107422,-74.008682250976562,40.740631103515625,N
id3043563,2,2016-06-30 23:41:38,5,-73.98974609375,40.752193450927734,-73.993232727050781,40.722667694091797,N
id0697361,1,2016-06-30 23:41:33,1,-73.951553344726563,40.723270416259766,-73.956108093261719,40.717189788818359,N
id0527242,1,2016-06-30 23:41:23,1,-73.990020751953125,40.729465484619141,-73.957756042480469,40.711288452148438,N
id1890566,2,2016-06-30 23:41:07,1,-73.980796813964844,40.753559112548828,-73.942863464355469,40.787441253662109,N
id0882843,1,2016-06-30 23:41:05,1,-73.787940979003906,40.641517639160156,-73.966987609863281,40.756847381591797,N
id2126329,2,2016-06-30 23:40:55,1,-73.993263244628906,40.742023468017578,-73.942680358886719,40.599433898925781,N
id3443802,2,2016-06-30 23:40:54,1,-73.981842041015625,40.755336761474609,-73.96051025390625,40.761371612548828,N
id1114580,2,2016-06-30 23:40:47,1,-73.985588073730469,40.746078491210937,-73.992279052734375,40.724609375,N
id2529811,1,2016-06-30 23:40:22,3,-73.989891052246094,40.740837097167969,-73.996475219726563,40.766658782958984,N
id1792589,1,2016-06-30 23:40:20,1,-73.992477416992188,40.758296966552734,-73.980781555175781,40.748012542724609,N
id0071844,1,2016-06-30 23:39:44,1,-73.987945556640625,40.737991333007813,-73.991073608398438,40.719284057617187,N
id3468683,1,2016-06-30 23:39:41,1,-73.995765686035156,40.753856658935547,-73.986091613769531,40.743400573730469,N
id2108605,2,2016-06-30 23:39:39,3,-73.977516174316406,40.752304077148438,-73.999488830566406,40.76123046875,N
id3353510,1,2016-06-30 23:39:21,1,-73.983619689941406,40.743667602539063,-74.0048828125,40.740806579589844,N
id1707352,1,2016-06-30 23:38:45,1,-73.962966918945313,40.719146728515625,-73.8953857421875,40.693897247314453,N
id1650458,1,2016-06-30 23:38:33,4,-74.004081726074219,40.742057800292969,-73.974349975585937,40.763847351074219,N
id2175910,1,2016-06-30 23:38:28,1,-74.009765625,40.703155517578125,-73.996177673339844,40.678054809570313,N
id1443779,2,2016-06-30 23:38:21,1,-73.985702514648437,40.727256774902344,-73.980674743652344,40.745826721191406,N
id2459479,1,2016-06-30 23:38:16,3,-73.98101806640625,40.753276824951172,-73.907623291015625,40.778579711914063,N
id0358410,1,2016-06-30 23:38:12,1,-74.005699157714844,40.750637054443359,-73.988548278808594,40.722843170166016,N
id0582396,1,2016-06-30 23:37:43,1,-73.967567443847656,40.757663726806641,-73.99261474609375,40.741168975830078,N
id2262648,1,2016-06-30 23:37:29,1,-73.990653991699219,40.739921569824219,-73.972358703613281,40.745075225830078,N
id2422279,1,2016-06-30 23:37:21,1,-73.996688842773438,40.737522125244141,-73.987701416015625,40.75567626953125,N
id3993739,1,2016-06-30 23:37:14,1,-74.001129150390625,40.731399536132812,-73.991714477539062,40.758926391601563,N
id2578671,1,2016-06-30 23:37:07,2,-73.979591369628906,40.752639770507813,-73.952995300292969,40.777446746826172,N
id3313356,2,2016-06-30 23:37:04,1,-73.965103149414063,40.769088745117188,-73.952659606933594,40.780418395996094,N
id0526259,2,2016-06-30 23:36:57,1,-73.987419128417969,40.721828460693359,-73.945648193359375,40.715171813964844,N
id2384843,2,2016-06-30 23:36:23,2,-73.992828369140625,40.758266448974609,-74.005928039550781,40.724781036376953,N
id1266405,2,2016-06-30 23:36:02,1,-73.996879577636719,40.720428466796875,-73.990089416503906,40.720138549804687,N
id2043002,2,2016-06-30 23:35:45,1,-73.982948303222656,40.761768341064453,-73.993644714355469,40.730392456054687,N
id1284494,2,2016-06-30 23:35:41,1,-73.996437072753906,40.763500213623047,-73.975372314453125,40.752288818359375,N
id0226404,1,2016-06-30 23:35:06,1,-73.950492858886719,40.775356292724609,-73.940353393554688,40.847984313964844,N
id1170300,1,2016-06-30 23:34:42,1,-73.999916076660156,40.725288391113281,-73.91278076171875,40.762859344482422,N
id1309256,2,2016-06-30 23:34:41,5,-73.976913452148437,40.726642608642578,-73.955894470214844,40.813777923583984,N
id3645922,2,2016-06-30 23:34:16,1,-73.975418090820313,40.749755859375,-73.947563171386719,40.788604736328125,N
id1595264,1,2016-06-30 23:33:22,1,-73.97723388671875,40.751964569091797,-73.985893249511719,40.726825714111328,N
id2594446,1,2016-06-30 23:33:18,3,-73.997322082519531,40.719123840332031,-73.99029541015625,40.749935150146484,N
id0777968,1,2016-06-30 23:32:41,1,-74.00048828125,40.727401733398438,-73.999969482421875,40.761337280273437,N
id0426749,1,2016-06-30 23:32:09,4,-73.986351013183594,40.755756378173828,-73.947685241699219,40.752155303955078,N
id1300331,1,2016-06-30 23:31:56,1,-73.966743469238281,40.764003753662109,-73.955154418945313,40.772510528564453,N
id1220261,1,2016-06-30 23:31:32,1,-73.971527099609375,40.804439544677734,-73.949943542480469,40.821895599365234,N
id2859902,2,2016-06-30 23:30:54,6,-74.007438659667969,40.743473052978516,-73.994873046875,40.750198364257813,N
id2726399,2,2016-06-30 23:30:39,1,-73.992889404296875,40.742790222167969,-73.976333618164062,40.740890502929688,N
id1653770,2,2016-06-30 23:30:32,1,-73.936927795410156,40.754642486572266,-73.944549560546875,40.712390899658203,N
id2785851,2,2016-06-30 23:30:12,1,-73.983512878417969,40.742351531982422,-73.971206665039063,40.750320434570312,N
id2023315,1,2016-06-30 23:29:57,1,-73.9810791015625,40.7415771484375,-73.972618103027344,40.79248046875,N
id0603959,2,2016-06-30 23:29:24,1,-73.974891662597656,40.761589050292969,-73.987396240234375,40.747169494628906,N
id0521659,2,2016-06-30 23:28:31,2,-74.009933471679688,40.704986572265625,-73.944541931152344,40.711582183837891,N
id2972142,1,2016-06-30 23:28:22,1,-73.982551574707031,40.784847259521484,-73.963539123535156,40.768672943115234,N
id0127362,2,2016-06-30 23:28:13,1,-73.980888366699219,40.753711700439453,-73.952987670898437,40.771751403808594,N
id0349746,1,2016-06-30 23:28:11,1,-73.976524353027344,40.751583099365234,-73.955856323242188,40.767955780029297,N
id3125801,2,2016-06-30 23:27:49,2,-73.982948303222656,40.771648406982422,-73.98077392578125,40.724906921386719,N
id2552900,1,2016-06-30 23:27:36,2,-73.988998413085938,40.721431732177734,-73.989212036132812,40.7567138671875,N
id3564322,2,2016-06-30 23:26:42,1,-73.870857238769531,40.773799896240234,-73.94586181640625,40.777988433837891,N
id2217703,1,2016-06-30 23:26:11,1,-73.975242614746094,40.741371154785156,-73.959800720214844,40.768623352050781,N
id2125163,1,2016-06-30 23:25:49,4,-73.985542297363281,40.747146606445313,-73.977668762207031,40.725986480712891,N
id1668771,2,2016-06-30 23:25:36,1,-73.979812622070313,40.752429962158203,-73.9613037109375,40.712059020996094,N
id0448827,1,2016-06-30 23:25:34,1,-73.955589294433594,40.779468536376953,-73.963905334472656,40.792636871337891,N
id0684597,1,2016-06-30 23:25:06,1,-74.001312255859375,40.736373901367188,-73.994987487792969,40.742874145507813,N
id2485399,2,2016-06-30 23:24:53,1,-74.007484436035156,40.725933074951172,-73.985984802246094,40.730937957763672,N
id1804505,2,2016-06-30 23:24:27,5,-73.99072265625,40.756191253662109,-73.93609619140625,40.798900604248047,N
id3202512,2,2016-06-30 23:24:11,1,-73.981071472167969,40.750431060791016,-73.963859558105469,40.757789611816406,N
id3544706,1,2016-06-30 23:24:08,1,-73.983200073242187,40.744560241699219,-73.954994201660156,40.769111633300781,N
id0976070,1,2016-06-30 23:22:46,1,-73.985671997070313,40.723056793212891,-73.977928161621094,40.726036071777344,N
id2451797,2,2016-06-30 23:22:18,1,-73.981742858886719,40.740898132324219,-73.9564208984375,40.775360107421875,N
id0377405,1,2016-06-30 23:22:09,1,-73.987236022949219,40.733001708984375,-73.97686767578125,40.727298736572266,N
id2195452,1,2016-06-30 23:22:00,1,-73.959991455078125,40.770751953125,-73.959991455078125,40.770751953125,N
id0876799,1,2016-06-30 23:21:36,1,-73.975784301757812,40.755508422851563,-73.972755432128906,40.785701751708984,N
id3716230,1,2016-06-30 23:20:43,2,-73.948768615722656,40.773731231689453,-73.974822998046875,40.753002166748047,N
id0392392,2,2016-06-30 23:20:41,1,-73.965507507324219,40.761966705322266,-73.97467041015625,40.75286865234375,N
id1615256,1,2016-06-30 23:20:36,2,-74.002227783203125,40.738712310791016,-73.976783752441406,40.750015258789063,N
id1358922,2,2016-06-30 23:20:18,2,-73.954521179199219,40.777980804443359,-73.9429931640625,40.787498474121094,N
id2648035,2,2016-06-30 23:20:02,1,-73.965126037597656,40.759525299072266,-73.922088623046875,40.763656616210938,N
id2678173,1,2016-06-30 23:19:28,3,-74.002853393554687,40.743881225585937,-74.004348754882813,40.751907348632812,N
id1760464,1,2016-06-30 23:19:07,1,-74.004951477050781,40.723087310791016,-73.954071044921875,40.772006988525391,N
id3723177,1,2016-06-30 23:18:54,1,-73.982696533203125,40.761734008789063,-73.981193542480469,40.773502349853516,N
id2111062,2,2016-06-30 23:18:53,2,-74.004173278808594,40.751838684082031,-73.988433837890625,40.764923095703125,N
id1353681,2,2016-06-30 23:18:52,1,-73.9403076171875,40.809051513671875,-73.980819702148437,40.75067138671875,N
id2604302,1,2016-06-30 23:18:32,1,-74.000396728515625,40.732463836669922,-73.997459411621094,40.719375610351562,N
id1442028,1,2016-06-30 23:17:55,1,-73.973724365234375,40.743427276611328,-73.976547241210937,40.751785278320313,N
id3094517,1,2016-06-30 23:17:53,2,-73.969337463378906,40.797992706298828,-73.948333740234375,40.803947448730469,N
id0130846,1,2016-06-30 23:17:35,1,-73.993583679199219,40.721263885498047,-73.99127197265625,40.750110626220703,N
id1177771,1,2016-06-30 23:17:35,1,-73.961936950683594,40.773441314697266,-73.965812683105469,40.752758026123047,N
id0276992,1,2016-06-30 23:17:34,1,-74.004165649414063,40.742382049560547,-73.948966979980469,40.627296447753906,N
id3214777,1,2016-06-30 23:16:59,2,-74.004318237304688,40.707332611083984,-73.991569519042969,40.697849273681641,N
id3613100,2,2016-06-30 23:16:57,1,-73.965507507324219,40.765190124511719,-73.949943542480469,40.782081604003906,N
id3196583,1,2016-06-30 23:16:38,1,-74.002815246582031,40.760528564453125,-73.990219116210938,40.746517181396484,N
id3273243,1,2016-06-30 23:16:10,1,-73.990829467773437,40.745876312255859,-73.921615600585937,40.762657165527344,N
id0585259,1,2016-06-30 23:16:04,2,-73.966148376464844,40.764736175537109,-73.979644775390625,40.789703369140625,N
id0562890,2,2016-06-30 23:15:59,6,-73.955368041992188,40.768531799316406,-73.950233459472656,40.761539459228516,N
id2584115,2,2016-06-30 23:15:12,1,-73.982528686523437,40.723251342773438,-73.948539733886719,40.709690093994141,N
id2329025,2,2016-06-30 23:15:09,3,-73.997970581054688,40.713691711425781,-73.990989685058594,40.765216827392578,N
id0975674,1,2016-06-30 23:14:39,1,-74.002593994140625,40.734085083007813,-73.974540710449219,40.753498077392578,N
id0139753,2,2016-06-30 23:14:33,1,-73.991767883300781,40.764888763427734,-73.978981018066406,40.744518280029297,N
id0394293,1,2016-06-30 23:14:31,1,-73.999847412109375,40.761528015136719,-73.988395690917969,40.764919281005859,N
id2144237,1,2016-06-30 23:14:28,1,-73.9736328125,40.750431060791016,-73.963386535644531,40.76593017578125,N
id0495393,2,2016-06-30 23:14:16,2,-73.988380432128906,40.731563568115234,-73.943008422851563,40.70611572265625,N
id1671429,1,2016-06-30 23:14:16,1,-73.983901977539062,40.765121459960938,-73.989227294921875,40.776798248291016,N
id1155279,1,2016-06-30 23:14:12,1,-73.940093994140625,40.75103759765625,-73.982139587402344,40.774219512939453,N
id3780029,2,2016-06-30 23:14:01,1,-73.979080200195313,40.744518280029297,-73.922538757324219,40.760009765625,N
id3759898,1,2016-06-30 23:13:41,1,-73.985435485839844,40.757942199707031,-73.967887878417969,40.710865020751953,N
id2068572,1,2016-06-30 23:13:28,1,-73.986045837402344,40.757694244384766,-73.991783142089844,40.749202728271484,N
id3029354,2,2016-06-30 23:13:16,3,-73.975692749023438,40.782089233398437,-73.981071472167969,40.774238586425781,N
id1233395,1,2016-06-30 23:11:39,2,-74.010574340820312,40.704734802246094,-73.980422973632813,40.742332458496094,N
id1971234,2,2016-06-30 23:11:37,5,-74.010444641113281,40.720134735107422,-73.997222900390625,40.737552642822266,N
id2146947,1,2016-06-30 23:10:58,1,-73.9879150390625,40.754356384277344,-73.99383544921875,40.7462158203125,N
id0248956,2,2016-06-30 23:10:15,3,-73.983406066894531,40.739753723144531,-73.927108764648438,40.762790679931641,N
id2832032,2,2016-06-30 23:10:02,1,-73.961021423339844,40.760791778564453,-73.949722290039062,40.772323608398438,N
id3381322,1,2016-06-30 23:09:53,1,-73.980018615722656,40.765567779541016,-73.979042053222656,40.777507781982422,N
id3174102,1,2016-06-30 23:09:38,1,-73.995452880859375,40.720832824707031,-73.973274230957031,40.743827819824219,N
id3841591,1,2016-06-30 23:09:09,1,-73.979774475097656,40.726978302001953,-74.002212524414063,40.73870849609375,N
id2828449,1,2016-06-30 23:08:34,2,-73.872978210449219,40.774150848388672,-73.974540710449219,40.755821228027344,Y
id0132202,2,2016-06-30 23:08:27,1,-73.983413696289062,40.743961334228516,-73.978187561035156,40.753391265869141,N
id2155048,2,2016-06-30 23:07:03,1,-74.00042724609375,40.727420806884766,-74.002677917480469,40.726680755615234,N
id1478994,1,2016-06-30 23:06:52,4,-73.779159545898438,40.647487640380859,-73.732612609863281,40.6815185546875,N
id0152661,2,2016-06-30 23:06:27,2,-74.012931823730469,40.716140747070313,-74.010177612304688,40.724491119384766,N
id2557936,2,2016-06-30 23:05:58,5,-73.983543395996094,40.765850067138672,-73.962310791015625,40.763469696044922,N
id1132188,2,2016-06-30 23:05:49,2,-74.007957458496094,40.740409851074219,-73.994857788085938,40.721351623535156,N
id2600155,1,2016-06-30 23:05:39,1,-73.933204650878906,40.758533477783203,-73.929481506347656,40.758563995361328,N
id1370403,1,2016-06-30 23:05:32,1,-73.986793518066406,40.761405944824219,-73.836494445800781,40.865215301513672,N
id1391881,1,2016-06-30 23:05:25,2,-73.992691040039063,40.718658447265625,-73.984535217285156,40.728713989257812,N
id0469584,1,2016-06-30 23:05:09,1,-73.981407165527344,40.763210296630859,-73.945152282714844,40.778560638427734,N
id1884057,1,2016-06-30 23:05:05,2,-73.988388061523438,40.745700836181641,-74.010688781738281,40.709030151367188,N
id3437390,2,2016-06-30 23:05:03,1,-73.976829528808594,40.788059234619141,-73.982032775878906,40.778701782226563,N
id2139791,2,2016-06-30 23:04:57,1,-73.97869873046875,40.734550476074219,-73.995529174804687,40.679241180419922,N
id2824398,1,2016-06-30 23:04:33,3,-73.98309326171875,40.749610900878906,-73.986640930175781,40.72967529296875,N
id2349329,1,2016-06-30 23:04:27,1,-73.958686828613281,40.763839721679688,-73.990020751953125,40.767078399658203,N
id2767155,2,2016-06-30 23:04:24,1,-73.954849243164063,40.773281097412109,-73.973159790039063,40.748451232910156,N
id2510692,1,2016-06-30 23:04:16,1,-73.980438232421875,40.764610290527344,-73.947120666503906,40.815692901611328,N
id0572623,2,2016-06-30 23:04:03,1,-74.000953674316406,40.736541748046875,-73.967262268066406,40.788089752197266,N
id1394395,1,2016-06-30 23:03:46,2,-74.001091003417969,40.731479644775391,-73.989326477050781,40.757545471191406,N
id1555305,2,2016-06-30 23:02:55,1,-73.986396789550781,40.732170104980469,-73.896377563476563,40.701019287109375,N
id2420516,2,2016-06-30 23:02:52,5,-74.009040832519531,40.713451385498047,-74.005477905273438,40.720161437988281,N
id1500597,1,2016-06-30 23:02:19,1,-73.981056213378906,40.782131195068359,-74.014640808105469,40.718112945556641,N
id1899288,1,2016-06-30 23:02:18,1,-74.00518798828125,40.720500946044922,-74.005241394042969,40.721172332763672,N
id1472524,1,2016-06-30 23:00:57,1,-73.975074768066406,40.765193939208984,-73.973289489746094,40.763969421386719,N
id1993020,1,2016-06-30 23:00:52,1,-74.013534545898437,40.713577270507813,-73.972373962402344,40.794918060302734,N
id2273329,2,2016-06-30 23:00:17,1,-73.977630615234375,40.752105712890625,-73.966529846191406,40.767055511474609,N
id0927586,1,2016-06-30 23:00:01,1,-73.984001159667969,40.761505126953125,-74.003944396972656,40.734729766845703,N
id3405349,2,2016-06-30 22:59:59,1,-74.009101867675781,40.716960906982422,-73.973579406738281,40.764381408691406,N
id2695311,2,2016-06-30 22:59:36,1,-73.991950988769531,40.744010925292969,-73.953498840332031,40.806880950927734,N
id1383806,1,2016-06-30 22:58:55,1,-74.007644653320312,40.740642547607422,-73.964500427246094,40.772960662841797,N
id1457117,1,2016-06-30 22:58:40,1,-73.967674255371094,40.756084442138672,-73.983604431152344,40.735786437988281,N
id2319880,1,2016-06-30 22:58:32,1,-73.976882934570313,40.751667022705078,-73.976219177246094,40.744235992431641,N
id0012779,1,2016-06-30 22:57:54,1,-73.78997802734375,40.643634796142578,-73.952369689941406,40.767036437988281,N
id0188228,1,2016-06-30 22:57:41,1,-73.948707580566406,40.774055480957031,-73.955009460449219,40.780258178710938,N
id0531829,1,2016-06-30 22:57:07,4,-73.984352111816406,40.736942291259766,-73.962242126464844,40.759048461914063,N
id2839388,2,2016-06-30 22:56:48,1,-73.781990051269531,40.644683837890625,-73.799064636230469,40.667762756347656,N
id3588198,2,2016-06-30 22:56:34,1,-73.954734802246094,40.765598297119141,-73.961509704589844,40.762729644775391,N
id1534831,1,2016-06-30 22:56:20,1,-73.987472534179688,40.732547760009766,-73.982269287109375,40.723579406738281,N
id0701015,1,2016-06-30 22:55:09,1,-73.991241455078125,40.723876953125,-74.005607604980469,40.736846923828125,N
id3953534,2,2016-06-30 22:54:49,2,-73.984359741210937,40.743068695068359,-73.998573303222656,40.754360198974609,N
id2307884,2,2016-06-30 22:54:48,2,-73.870948791503906,40.773708343505859,-73.795814514160156,40.781837463378906,N
id0778023,2,2016-06-30 22:54:28,1,-73.947662353515625,40.779495239257813,-73.942100524902344,40.789642333984375,N
id1308073,2,2016-06-30 22:54:09,1,-74.006057739257813,40.735031127929688,-74.010757446289062,40.716159820556641,N
id0576533,1,2016-06-30 22:54:04,1,-73.986961364746094,40.765895843505859,-73.946044921875,40.781219482421875,N
id1349994,2,2016-06-30 22:54:01,2,-73.979812622070313,40.758937835693359,-73.982261657714844,40.739852905273438,N
id2467928,1,2016-06-30 22:53:56,2,-73.979782104492187,40.771076202392578,-73.971244812011719,40.745292663574219,N
id3351750,1,2016-06-30 22:53:51,1,-73.962806701660156,40.775173187255859,-73.956947326660156,40.780391693115234,N
id3562352,2,2016-06-30 22:53:39,3,-73.959739685058594,40.779449462890625,-73.892463684082031,40.7470703125,N
id0428290,2,2016-06-30 22:52:46,1,-73.972503662109375,40.763999938964844,-73.948081970214844,40.804039001464844,N
id0271028,2,2016-06-30 22:52:37,2,-73.985725402832031,40.726985931396484,-73.991058349609375,40.685356140136719,N
id3718272,2,2016-06-30 22:52:35,2,-74.009330749511719,40.714771270751953,-73.987220764160156,40.729930877685547,N
id2509234,2,2016-06-30 22:52:00,1,-73.989952087402344,40.751621246337891,-73.987716674804688,40.746490478515625,N
id1388591,1,2016-06-30 22:51:46,1,-74.005401611328125,40.739933013916016,-73.979278564453125,40.749828338623047,N
id3122246,1,2016-06-30 22:51:44,2,-73.976905822753906,40.749912261962891,-73.974342346191406,40.744228363037109,N
id1842326,1,2016-06-30 22:51:20,1,-73.975296020507812,40.752178192138672,-73.98455810546875,40.723171234130859,N
id3529394,1,2016-06-30 22:50:06,3,-74.004714965820313,40.730228424072266,-73.999191284179688,40.744483947753906,N
id1520129,2,2016-06-30 22:50:03,6,-74.005050659179687,40.720199584960938,-73.981727600097656,40.757129669189453,N
id0338551,2,2016-06-30 22:50:00,2,-73.980804443359375,40.744602203369141,-73.998138427734375,40.735565185546875,N
id1208751,1,2016-06-30 22:49:59,2,-73.985069274902344,40.747917175292969,-73.984291076660156,40.755878448486328,N
id3406262,1,2016-06-30 22:49:39,1,-73.988319396972656,40.744300842285156,-73.985618591308594,40.762100219726562,N
id1769589,1,2016-06-30 22:49:39,3,-73.989059448242188,40.758068084716797,-73.994400024414063,40.719558715820312,N
id2867593,1,2016-06-30 22:49:35,3,-73.982223510742188,40.742523193359375,-73.97412109375,40.744098663330078,N
id0822086,2,2016-06-30 22:49:13,1,-73.989349365234375,40.762935638427734,-74.0029296875,40.760593414306641,N
id1309623,1,2016-06-30 22:49:04,1,-74.002822875976563,40.745407104492187,-73.952079772949219,40.8131103515625,N
id0837556,1,2016-06-30 22:48:47,1,-74.013664245605469,40.713645935058594,-73.968505859375,40.791522979736328,N
id0641228,2,2016-06-30 22:47:39,2,-73.982467651367188,40.777538299560547,-73.963668823242188,40.802841186523438,N
